全国卫视IPV6,#genre#
壹電影, http://111.243.127.138:4022/udp/230.1.2.19:11111
淘电影HD, http://114.254.98.22:4022/rtp/239.3.1.250:8001
淘电影HD, http://125.34.18.213:7777/rtp/239.3.1.250:8001
淘电影HD, http://123.112.50.33:8888/rtp/239.3.1.250:8001
淘电影HD, http://123.115.195.226:8888/rtp/239.3.1.250:8001
淘电影HD, http://123.112.246.1:5555/rtp/239.3.1.250:8001
东森电影, http://50.7.238.114:8278/ettvmovie/playlist.m3u8?tid=MDED1943740419437404&ct=19225&tsum=120834a4218c4b5c3bb19efb8116f859
星卫电影, http://50.7.238.114:8278/xingwei_movie/playlist.m3u8?tid=MBAB2096754620967546&ct=18392&tsum=2c800c1f0b6cc98d2404608c294dcbc2
東森電影, http://198.16.100.90:8278/ettvmovie/playlist.m3u8?tid=md2ba4c243ed411481253&ct=17874&tsum=4637ffbc3260e78931b566300e618313
龍祥電影, http://50.7.238.114:8278/lungxiangtime_twn/playlist.m3u8?tid=MADA6805114368051143&ct=18392&tsum=d6a1f02ca9abd5368d2a365e40247ae8
宇哥电影, http://epg.112114.xyz/douyu/413573
东森电影, http://198.16.100.90:8278/ettvmovie/playlist.m3u8?tid=md2ba4c243ed411481253&ct=17874&tsum=4637ffbc3260e78931b566300e618313
湖南电影, http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel43029/index.m3u8
动作电影, http://39.135.133.167:80/wh7f454c46tw3123557892_1888684188/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
怀旧电影, http://119.118.170.190:8888/rtp/232.0.0.48:1234
龍祥電影, http://50.7.238.114:8278/cb7a1fec69/playlist.m3u8?tid=md05ab4002297&ct=18335&tsum=ebe4254ee0e073c2d3c9789e679c00a5
美亞電影, http://198.16.100.90:8278/meiyamovie_twn/playlist.m3u8?tid=mcfe3e109029013892155&ct=17874&tsum=164baeda6ab6c4160f2775128cfc6f4e
東森電影, http://198.16.100.90:8278/ettvmovie/playlist.m3u8?tid=md2ba4c243ed411481253&ct=17874&tsum=4637ffbc3260e78931b566300e618313
东森电影, http://198.16.100.90:8278/ettvmovie/playlist.m3u8?tid=MEDE1688528216885282&ct=19193&tsum=843fbd698e260c1fcda128dce85ead3b
东森电影, http://50.7.238.114:8278/ettvmovie/playlist.m3u8?tid=MBDB9268852192688521&ct=19254&tsum=7514b50ebc2e4b06f2e402578d0ac996
東森電影, http://198.16.100.90:8278/ettvmovie/playlist.m3u8?tid=MBDB9268852192688521&ct=19254&tsum=7514b50ebc2e4b06f2e402578d0ac996
动作电影, http://fxgm.fxjf.work:19901/tsfile/live/1015_1.m3u8
CCTV6-电影, http://iptv123.msns.cn:9901/tsfile/live/0006_1.m3u8
经典电影, http://113.64.145.61:8081/hls/61/index.m3u8
AMC电影台, http://66.165.240.154:8080/live/sf2xby4/hls.m3u8

海外,#genre#
台視新聞 HD, http://50.7.238.114:8278/ttvnews_twn/playlist.m3u8?tid=MD9D1039476110394761&ct=19193&tsum=9f33349842788bfb7b0e90e93f7bf02c
